nome,idade,estrelas,releases,url
dependency-check/dependency-check-sonar-plugin,3167,514,32,https://github.com/dependency-check/dependency-check-sonar-plugin
Zweihui/RxFingerPrinter,2447,511,0,https://github.com/Zweihui/RxFingerPrinter
amazon-archives/realworld-serverless-application,1444,510,1,https://github.com/amazon-archives/realworld-serverless-application
Weik1/Artillery,490,510,1,https://github.com/Weik1/Artillery
lumenghz/PullToRefresh,2645,508,3,https://github.com/lumenghz/PullToRefresh
barryhappy/TContributionsView,2484,508,0,https://github.com/barryhappy/TContributionsView
tyczj/ExtendedCalendarView,3534,506,0,https://github.com/tyczj/ExtendedCalendarView
smartyuge/SuperIndicator,2575,504,1,https://github.com/smartyuge/SuperIndicator
pavsa/hackrf-spectrum-analyzer,2384,503,5,https://github.com/pavsa/hackrf-spectrum-analyzer
mohamed-taman/Springy-Store-Microservices,1264,501,21,https://github.com/mohamed-taman/Springy-Store-Microservices
basteez/AndroidDrawableFactory,3532,501,0,https://github.com/basteez/AndroidDrawableFactory
googlearchive/AndroidChat,3727,499,0,https://github.com/googlearchive/AndroidChat
wangjiegulu/AndroidBucket,3459,498,0,https://github.com/wangjiegulu/AndroidBucket
bxiaopeng/AndroidStudio,3543,496,0,https://github.com/bxiaopeng/AndroidStudio
gotokatsuya/BlurredGridMenu,3024,494,0,https://github.com/gotokatsuya/BlurredGridMenu
Cicizz/jmqtt,1761,494,5,https://github.com/Cicizz/jmqtt
delight-im/Faceless,3348,491,0,https://github.com/delight-im/Faceless
FirebaseExtended/mlkit-material-android,1602,491,0,https://github.com/FirebaseExtended/mlkit-material-android
moditect/moditect,2383,491,3,https://github.com/moditect/moditect
bttv-android/bttv,943,490,70,https://github.com/bttv-android/bttv
rtyley/agit,4763,489,0,https://github.com/rtyley/agit
materialdoc/materialdoc,2858,488,2,https://github.com/materialdoc/materialdoc
TNG/ArchUnit-Examples,2114,488,0,https://github.com/TNG/ArchUnit-Examples
czy1121/cornerlabelview,2548,487,4,https://github.com/czy1121/cornerlabelview
carymrobbins/intellij-haskforce,3542,487,52,https://github.com/carymrobbins/intellij-haskforce
bujiio/buji-pac4j,4080,485,0,https://github.com/bujiio/buji-pac4j
GenshenWang/DubboDemo,2341,485,0,https://github.com/GenshenWang/DubboDemo
liaoguobao/TweakMe,452,484,0,https://github.com/liaoguobao/TweakMe
woodpecker-appstore/log4j-payload-generator,640,484,1,https://github.com/woodpecker-appstore/log4j-payload-generator
RikkaApps/Shizuku-API,975,483,2,https://github.com/RikkaApps/Shizuku-API
ppamorim/Cult,3030,483,2,https://github.com/ppamorim/Cult
Diffey/RxZhihuPager,2766,482,0,https://github.com/Diffey/RxZhihuPager
googlesamples/android-play-publisher-api,3360,482,0,https://github.com/googlesamples/android-play-publisher-api
fangx/ZhiHuMVP,2792,482,0,https://github.com/fangx/ZhiHuMVP
MinecraftForge/ForgeGradle,3611,482,2,https://github.com/MinecraftForge/ForgeGradle
starcwang/canal_mysql_elasticsearch_sync,2211,482,5,https://github.com/starcwang/canal_mysql_elasticsearch_sync
elbbbird/ESSocialSDK,2856,481,1,https://github.com/elbbbird/ESSocialSDK
xuminwlt/j360-dubbo-app-all,2613,481,0,https://github.com/xuminwlt/j360-dubbo-app-all
spring-cloud-samples/eureka,3343,479,0,https://github.com/spring-cloud-samples/eureka
ppdaicorp/pmq,1427,477,1,https://github.com/ppdaicorp/pmq
stoicflame/enunciate,4515,476,35,https://github.com/stoicflame/enunciate
openanalytics/shinyproxy,2675,475,48,https://github.com/openanalytics/shinyproxy
hongyangAndroid/ColorfulStatusBar,2915,474,0,https://github.com/hongyangAndroid/ColorfulStatusBar
jprante/elasticsearch-knapsack,3931,473,3,https://github.com/jprante/elasticsearch-knapsack
runabol/piper,2649,473,0,https://github.com/runabol/piper
ljqloveyou123/LiujiaqiAndroid,2388,470,0,https://github.com/ljqloveyou123/LiujiaqiAndroid
jrvansuita/PickImage,2508,469,33,https://github.com/jrvansuita/PickImage
googlesamples/androidtv-sample-inputs,3219,468,0,https://github.com/googlesamples/androidtv-sample-inputs
JakeWharton/salvage,3844,467,0,https://github.com/JakeWharton/salvage
micyo202/lion,1952,467,19,https://github.com/micyo202/lion
Dawish/MDPlayer,2663,466,0,https://github.com/Dawish/MDPlayer
opencollab/jlatexmath,2910,466,3,https://github.com/opencollab/jlatexmath
wechatpay-apiv3/wechatpay-java,472,466,13,https://github.com/wechatpay-apiv3/wechatpay-java
bobcarroll/jira-client,3762,464,0,https://github.com/bobcarroll/jira-client
badoualy/datepicker-timeline,2593,463,2,https://github.com/badoualy/datepicker-timeline
worstcase/gumshoe,2726,462,1,https://github.com/worstcase/gumshoe
ForestryMC/ForestryMC,3422,462,4,https://github.com/ForestryMC/ForestryMC
ddd-by-examples/event-source-cqrs-sample,2634,462,0,https://github.com/ddd-by-examples/event-source-cqrs-sample
PlayPro/CoreProtect,2214,462,11,https://github.com/PlayPro/CoreProtect
OWASP/owasp-java-encoder,3090,459,1,https://github.com/OWASP/owasp-java-encoder
artsploit/yaml-payload,1612,458,0,https://github.com/artsploit/yaml-payload
JakeWharton/okhttp-idling-resource,2640,458,0,https://github.com/JakeWharton/okhttp-idling-resource
caisl/activity-platform,1709,457,0,https://github.com/caisl/activity-platform
Maxi-Mao/ChatDemo,2542,456,0,https://github.com/Maxi-Mao/ChatDemo
litesuits/android-lite-async,3473,455,0,https://github.com/litesuits/android-lite-async
janishar/android-dagger2-example,2454,454,0,https://github.com/janishar/android-dagger2-example
aalansehaiyang/Lock-Learning,2051,454,0,https://github.com/aalansehaiyang/Lock-Learning
limedroid/XRichText,2507,453,1,https://github.com/limedroid/XRichText
edufolly/flutter_mobile_vision,1971,453,4,https://github.com/edufolly/flutter_mobile_vision
lilifengcode/Burpsuite-Plugins-Usage,1477,453,0,https://github.com/lilifengcode/Burpsuite-Plugins-Usage
Splitter/android_packages_apps_apolloMod,3839,452,0,https://github.com/Splitter/android_packages_apps_apolloMod
throrin19/Android-Validator,4097,450,0,https://github.com/throrin19/Android-Validator
Ardesco/Selenium-Maven-Template,4164,449,0,https://github.com/Ardesco/Selenium-Maven-Template
amzn/selling-partner-api-models,1143,448,0,https://github.com/amzn/selling-partner-api-models
shontauro-zz/android-pulltorefresh-and-loadmore,4252,446,0,https://github.com/shontauro-zz/android-pulltorefresh-and-loadmore
yangchong211/YCUpdateApp,2269,442,0,https://github.com/yangchong211/YCUpdateApp
maskarade/Android-Orma,2866,440,0,https://github.com/maskarade/Android-Orma
hantsy/spring-webmvc-jwt-sample,1968,439,0,https://github.com/hantsy/spring-webmvc-jwt-sample
PureWriter/about-page,2522,439,12,https://github.com/PureWriter/about-page
victordiaz/PHONK,2095,438,17,https://github.com/victordiaz/PHONK
andraskindler/parallaxviewpager,3416,437,0,https://github.com/andraskindler/parallaxviewpager
bkhezry/weather,1604,436,7,https://github.com/bkhezry/weather
yesidlazaro/BadgedImageview,2853,435,0,https://github.com/yesidlazaro/BadgedImageview
czy1121/badgebutton,2515,434,2,https://github.com/czy1121/badgebutton
CoolThink/StatusBarAdapt,2853,431,0,https://github.com/CoolThink/StatusBarAdapt
timolson/cointrader,3392,431,0,https://github.com/timolson/cointrader
MaksTuev/ferro,2630,430,7,https://github.com/MaksTuev/ferro
hkk595/Resizer,2203,429,6,https://github.com/hkk595/Resizer
fynch3r/Gadgets,856,427,0,https://github.com/fynch3r/Gadgets
zzz40500/HeadsUp,3152,426,1,https://github.com/zzz40500/HeadsUp
wuman/android-oauth-client,3731,425,0,https://github.com/wuman/android-oauth-client
wenhuaijun/EasyTagDragView,2666,425,0,https://github.com/wenhuaijun/EasyTagDragView
xuningjack/verticaltextview,2389,149,0,https://github.com/xuningjack/verticaltextview
ppamorim/PrismView,2988,149,3,https://github.com/ppamorim/PrismView
taoliuh/CoordinateKeyboard,2826,149,0,https://github.com/taoliuh/CoordinateKeyboard
aesion/SnapUpCountDownTimerView,2630,148,0,https://github.com/aesion/SnapUpCountDownTimerView
jianghejie/CodeBox,3208,148,0,https://github.com/jianghejie/CodeBox
xchengx/ChinaMap,2598,148,0,https://github.com/xchengx/ChinaMap
LuckyJayce/LoadViewHelper,3082,148,0,https://github.com/LuckyJayce/LoadViewHelper
raffaeleguidi/DirectMemory,4668,148,0,https://github.com/raffaeleguidi/DirectMemory
jasonwyatt/Android-DebugPort,2698,148,11,https://github.com/jasonwyatt/Android-DebugPort
kysonzhu/wallpaper,2052,148,0,https://github.com/kysonzhu/wallpaper
githubhaohao/MVVMRxJavaRetrofitSample,2405,148,0,https://github.com/githubhaohao/MVVMRxJavaRetrofitSample
jungletian/TitanjumNote,2937,148,0,https://github.com/jungletian/TitanjumNote
elasticfence/elasticsearch-http-user-auth,2869,148,10,https://github.com/elasticfence/elasticsearch-http-user-auth
mrmilu/WPEditText,3073,148,1,https://github.com/mrmilu/WPEditText
lassana/continuous-audiorecorder,3670,147,0,https://github.com/lassana/continuous-audiorecorder
dstl/baleen,2929,147,7,https://github.com/dstl/baleen
bytehala/android-mqtt-quickstart,2724,147,0,https://github.com/bytehala/android-mqtt-quickstart
luugiathuy/Remote-Bluetooth-Android,4570,147,0,https://github.com/luugiathuy/Remote-Bluetooth-Android
huijimuhe/Luban-Circle-Demo,2596,146,0,https://github.com/huijimuhe/Luban-Circle-Demo
xuningjack/select_picture_module,2389,146,0,https://github.com/xuningjack/select_picture_module
Jhuster/ImageCropper,3169,146,3,https://github.com/Jhuster/ImageCropper
donlan/Tuyi,2750,146,0,https://github.com/donlan/Tuyi
patrick-doyle/CrossBow,3516,146,0,https://github.com/patrick-doyle/CrossBow
bitquest/bitquest,2877,146,0,https://github.com/bitquest/bitquest
yfiton/yfiton,2812,146,3,https://github.com/yfiton/yfiton
watson-developer-cloud/assistant-with-discovery,2624,145,2,https://github.com/watson-developer-cloud/assistant-with-discovery
00ec454/Ask,2704,145,0,https://github.com/00ec454/Ask
spring-attic/spring-cloud-etcd,3128,145,0,https://github.com/spring-attic/spring-cloud-etcd
xuningjack/edittext_with_delete_button,2389,145,0,https://github.com/xuningjack/edittext_with_delete_button
liuguangqiang/AndroidDesignSupportSample,3026,145,0,https://github.com/liuguangqiang/AndroidDesignSupportSample
chaokunyang/cloud-shop,2402,145,0,https://github.com/chaokunyang/cloud-shop
vhakulinen/neovim-intellij-complete,2710,145,2,https://github.com/vhakulinen/neovim-intellij-complete
VictorAlbertos/Mockery,2620,145,5,https://github.com/VictorAlbertos/Mockery
shanyao0/TabPagerIndicatorDemo,2639,145,0,https://github.com/shanyao0/TabPagerIndicatorDemo
asciidoctor/asciidoctor-gradle-examples,3128,145,0,https://github.com/asciidoctor/asciidoctor-gradle-examples
michelelacorte/RetractableToolbar,2860,145,0,https://github.com/michelelacorte/RetractableToolbar
gaoyangcr7/BiometricPromptDemo,1899,145,0,https://github.com/gaoyangcr7/BiometricPromptDemo
kabutz/javaspecialists,4138,145,0,https://github.com/kabutz/javaspecialists
Rukey7/TagLayout,2612,144,7,https://github.com/Rukey7/TagLayout
252217616/murfree,1534,144,0,https://github.com/252217616/murfree
SuperSaltedFish/ChatProject,2151,144,0,https://github.com/SuperSaltedFish/ChatProject
LineChen/PileLayout,2487,144,0,https://github.com/LineChen/PileLayout
shehuan/RecyclerViewAdapter,2572,144,7,https://github.com/shehuan/RecyclerViewAdapter
claudiodegio/MsvSearch,2476,144,0,https://github.com/claudiodegio/MsvSearch
thiagolocatelli/parse4j,3496,144,0,https://github.com/thiagolocatelli/parse4j
mingcheng/Tracker,4171,144,0,https://github.com/mingcheng/Tracker
CrazyZty/ComposeAudio,2641,144,0,https://github.com/CrazyZty/ComposeAudio
Haehnchen/idea-php-generics-plugin,1544,144,0,https://github.com/Haehnchen/idea-php-generics-plugin
niniloveyou/SwipeRecyclerView,2514,143,0,https://github.com/niniloveyou/SwipeRecyclerView
FunriLy/springboot-study,2424,143,0,https://github.com/FunriLy/springboot-study
dmallcott/DismissibleImageView,2313,142,3,https://github.com/dmallcott/DismissibleImageView
NovelanceF/Dribbble_rebuild,3519,142,0,https://github.com/NovelanceF/Dribbble_rebuild
iamralpht/gravitas,3244,142,0,https://github.com/iamralpht/gravitas
android10/frodo2,2470,142,0,https://github.com/android10/frodo2
rylexr/android-show-hide-toolbar,3062,142,0,https://github.com/rylexr/android-show-hide-toolbar
AppCanOpenSource/appcan-android,3187,142,5,https://github.com/AppCanOpenSource/appcan-android
romainpiel/Michelangelo,3522,142,0,https://github.com/romainpiel/Michelangelo
chen-xiao-dong/RichEditText,2908,142,0,https://github.com/chen-xiao-dong/RichEditText
ronak-lm/android-watchlist,2819,142,1,https://github.com/ronak-lm/android-watchlist
Zweihui/ViscousSwipeItem,2473,142,0,https://github.com/Zweihui/ViscousSwipeItem
nekopanda/logbook,3353,142,67,https://github.com/nekopanda/logbook
trecloux/yeoman-maven-plugin,3794,141,0,https://github.com/trecloux/yeoman-maven-plugin
hiwhitley/AmmountView,2613,141,0,https://github.com/hiwhitley/AmmountView
zqljintu/Memory-capsule,1938,141,0,https://github.com/zqljintu/Memory-capsule
googlearchive/AndroidDrawing,3727,141,0,https://github.com/googlearchive/AndroidDrawing
mylhyl/AndroidSuperDialog,2743,141,0,https://github.com/mylhyl/AndroidSuperDialog
armcha/MVP-Architecture-Components,2303,141,0,https://github.com/armcha/MVP-Architecture-Components
