file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\dao\FeedsDataHelper.java,me.storm.ninegag.dao.FeedsDataHelper$FeedsDBInfo,innerclass,2,2,0,2,1,1,0,1,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,9,0,0,0,0,0,4,0,5,0,5,0,0,0,0,24,25,0
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\extras\ShimmerAndroid\src\main\java\com\romainpiel\shimmer\Shimmer.java,com.romainpiel.shimmer.Shimmer$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\view\swipeback\ViewDragHelper.java,me.storm.ninegag.view.swipeback.ViewDragHelper$Callback,innerclass,1,1,0,1,13,1,0,0,78,0.0,0.0,0.0,13,0,13,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,0,0,0,4,0,0,0,0,0,0,0,243,1033,0
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\model\Feed.java,me.storm.ninegag.model.Feed$Image,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,1,0
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\util\VersionUtils.java,me.storm.ninegag.util.VersionUtils,class,0,0,0,0,3,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,5,0,0,3,0,0,0,0,3,0,3,0,0,0,0,21,1,0
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\data\ImageCacheManager.java,me.storm.ninegag.data.ImageCacheManager$Anonymous1,anonymous,6,6,0,6,7,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,4,0,0,0,1,1,0,1,2,0,0,0,15,-1,0
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\dao\BaseDataHelper.java,me.storm.ninegag.dao.BaseDataHelper,class,6,8,2,6,13,1,1,9,0,0.23076923,0.5769231,0.5769231,13,0,4,0,9,0,13,1,8,0,1,0,0,1,0,0,0,0,0,40,10,0,0,0,0,0,0,1,0,1,0,0,0,0,31,1025,0
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\view\swipeback\SwipeBackActivityHelper.java,me.storm.ninegag.view.swipeback.SwipeBackActivityHelper,class,7,10,3,7,13,1,0,17,0,0.35714287,0.71428573,1.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,72,3,1,1,2,0,5,3,9,0,8,3,1,0,0,81,1,0
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\util\ToastUtils.java,me.storm.ninegag.util.ToastUtils,class,2,5,3,2,7,1,0,3,21,0.0,0.0,0.0,7,6,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
c:\Users\jvgpl\OneDrive\Documentos\SO\teste\lab-experimentacao\LAB02\repos\9GAG\app\src\main\java\me\storm\ninegag\data\GsonRequest.java,me.storm.ninegag.data.GsonRequest,class,8,9,1,8,8,2,0,7,4,0.65,0.3,0.6,5,0,3,0,2,0,5,0,0,0,4,0,0,4,0,0,4,0,0,33,4,0,1,1,0,0,0,5,0,5,1,0,0,0,33,1,0
