Name,Owner_login,Accepted_PRs,URL
Real-ESRGAN,xinntao,21,https://github.com/xinntao/Real-ESRGAN
sails,balderdashy,544,https://github.com/balderdashy/sails
exa,ogham,229,https://github.com/ogham/exa
micro,zyedidia,597,https://github.com/zyedidia/micro
setup-ipsec-vpn,hwdsl2,40,https://github.com/hwdsl2/setup-ipsec-vpn
openssl,openssl,118,https://github.com/openssl/openssl
Telegram,DrKLO,20,https://github.com/DrKLO/Telegram
awesome-actions,sdras,439,https://github.com/sdras/awesome-actions
srs,ossrs,363,https://github.com/ossrs/srs
RevokeMsgPatcher,huiyadanli,7,https://github.com/huiyadanli/RevokeMsgPatcher
hub,mislav,402,https://github.com/mislav/hub
tdesktop,telegramdesktop,1301,https://github.com/telegramdesktop/tdesktop
octotree,ovity,249,https://github.com/ovity/octotree
trilium,zadam,226,https://github.com/zadam/trilium
draft-js,facebookarchive,216,https://github.com/facebookarchive/draft-js
redux-saga,redux-saga,671,https://github.com/redux-saga/redux-saga
30-Days-Of-React,Asabeneh,10,https://github.com/Asabeneh/30-Days-Of-React
firecracker,firecracker-microvm,2199,https://github.com/firecracker-microvm/firecracker
blog,fouber,1,https://github.com/fouber/blog
ember.js,emberjs,8015,https://github.com/emberjs/ember.js
Data-Science-For-Beginners,microsoft,284,https://github.com/microsoft/Data-Science-For-Beginners
CyberChef,gchq,387,https://github.com/gchq/CyberChef
gson,google,526,https://github.com/google/gson
table,TanStack,695,https://github.com/TanStack/table
ML-From-Scratch,eriklindernoren,9,https://github.com/eriklindernoren/ML-From-Scratch
flv.js,bilibili,20,https://github.com/bilibili/flv.js
skywalking,apache,4251,https://github.com/apache/skywalking
MiniGPT-4,Vision-CAIR,6,https://github.com/Vision-CAIR/MiniGPT-4
homebridge,homebridge,301,https://github.com/homebridge/homebridge
quivr,StanGirard,406,https://github.com/StanGirard/quivr
sweetalert,t4t5,84,https://github.com/t4t5/sweetalert
react-redux-links,markerikson,62,https://github.com/markerikson/react-redux-links
ipfs,ipfs,127,https://github.com/ipfs/ipfs
wepy,Tencent,465,https://github.com/Tencent/wepy
RedisDesktopManager,RedisInsight,424,https://github.com/RedisInsight/RedisDesktopManager
fish-shell,fish-shell,1692,https://github.com/fish-shell/fish-shell
wttr.in,chubin,256,https://github.com/chubin/wttr.in
mocha,mochajs,1172,https://github.com/mochajs/mocha
intro.js,usablica,412,https://github.com/usablica/intro.js
tuning_playbook,google-research,6,https://github.com/google-research/tuning_playbook
surrealdb,surrealdb,500,https://github.com/surrealdb/surrealdb
algo,wangzheng0822,321,https://github.com/wangzheng0822/algo
Rectangle,rxhanson,211,https://github.com/rxhanson/Rectangle
github1s,conwnet,285,https://github.com/conwnet/github1s
celery,celery,2088,https://github.com/celery/celery
SwiftyJSON,SwiftyJSON,218,https://github.com/SwiftyJSON/SwiftyJSON
k9s,derailed,397,https://github.com/derailed/k9s
javascript-testing-best-practices,goldbergyoni,146,https://github.com/goldbergyoni/javascript-testing-best-practices
react-starter-kit,kriasoft,544,https://github.com/kriasoft/react-starter-kit
libuv,libuv,864,https://github.com/libuv/libuv
locust,locustio,649,https://github.com/locustio/locust
howler.js,goldfire,127,https://github.com/goldfire/howler.js
headlessui,tailwindlabs,427,https://github.com/tailwindlabs/headlessui
elixir,elixir-lang,6502,https://github.com/elixir-lang/elixir
pumpkin-book,datawhalechina,46,https://github.com/datawhalechina/pumpkin-book
flow,facebook,160,https://github.com/facebook/flow
AFFiNE,toeverything,2275,https://github.com/toeverything/AFFiNE
awesome-falsehood,kdeldycke,97,https://github.com/kdeldycke/awesome-falsehood
highlight.js,highlightjs,1368,https://github.com/highlightjs/highlight.js
jumpserver,jumpserver,5309,https://github.com/jumpserver/jumpserver
lux,iawia002,267,https://github.com/iawia002/lux
tokio,tokio-rs,2948,https://github.com/tokio-rs/tokio
chosen,harvesthq,310,https://github.com/harvesthq/chosen
polymer,Polymer,1071,https://github.com/Polymer/polymer
notable,notable,25,https://github.com/notable/notable
react-bootstrap,react-bootstrap,2613,https://github.com/react-bootstrap/react-bootstrap
windows95,felixrieseberg,20,https://github.com/felixrieseberg/windows95
flink,apache,8080,https://github.com/apache/flink
libgdx,libgdx,2543,https://github.com/libgdx/libgdx
NLP-progress,sebastianruder,468,https://github.com/sebastianruder/NLP-progress
vant,youzan,4749,https://github.com/youzan/vant
vuepress,vuejs,781,https://github.com/vuejs/vuepress
dapr,dapr,2948,https://github.com/dapr/dapr
qBittorrent,qbittorrent,3148,https://github.com/qbittorrent/qBittorrent
electron-react-boilerplate,electron-react-boilerplate,802,https://github.com/electron-react-boilerplate/electron-react-boilerplate
vegeta,tsenart,143,https://github.com/tsenart/vegeta
awesome-datascience,academic,323,https://github.com/academic/awesome-datascience
iosched,google,66,https://github.com/google/iosched
wiki,requarks,360,https://github.com/requarks/wiki
passport,jaredhanson,51,https://github.com/jaredhanson/passport
WaveFunctionCollapse,mxgmn,18,https://github.com/mxgmn/WaveFunctionCollapse
JARVIS,microsoft,22,https://github.com/microsoft/JARVIS
pytudes,norvig,53,https://github.com/norvig/pytudes
api-guidelines,microsoft,172,https://github.com/microsoft/api-guidelines
scrollreveal,jlmakes,32,https://github.com/jlmakes/scrollreveal
homemade-machine-learning,trekhleb,3,https://github.com/trekhleb/homemade-machine-learning
dracula-theme,dracula,84,https://github.com/dracula/dracula-theme
redisson,redisson,343,https://github.com/redisson/redisson
awesome-cto,kuchin,12,https://github.com/kuchin/awesome-cto
TDengine,taosdata,16933,https://github.com/taosdata/TDengine
validator.js,validatorjs,717,https://github.com/validatorjs/validator.js
vnpy,vnpy,1005,https://github.com/vnpy/vnpy
bitcoinbook,bitcoinbook,436,https://github.com/bitcoinbook/bitcoinbook
refined-github,refined-github,2742,https://github.com/refined-github/refined-github
spacedrive,spacedriveapp,852,https://github.com/spacedriveapp/spacedrive
v8,v8,0,https://github.com/v8/v8
dragula,bevacqua,57,https://github.com/bevacqua/dragula
docker-cheat-sheet,wsargent,134,https://github.com/wsargent/docker-cheat-sheet
gfwlist,gfwlist,0,https://github.com/gfwlist/gfwlist
flameshot,flameshot-org,794,https://github.com/flameshot-org/flameshot
gradio,gradio-app,2072,https://github.com/gradio-app/gradio
modern-cpp-tutorial,changkun,107,https://github.com/changkun/modern-cpp-tutorial
Kingfisher,onevcat,592,https://github.com/onevcat/Kingfisher
nanoid,ai,171,https://github.com/ai/nanoid
masscan,robertdavidgraham,82,https://github.com/robertdavidgraham/masscan
react-motion,chenglou,144,https://github.com/chenglou/react-motion
Hero,HeroTransitions,117,https://github.com/HeroTransitions/Hero
llvm-project,llvm,53,https://github.com/llvm/llvm-project
rancher,rancher,8482,https://github.com/rancher/rancher
awesome-deep-learning,ChristosChristofidis,165,https://github.com/ChristosChristofidis/awesome-deep-learning
vscodium,VSCodium,392,https://github.com/VSCodium/vscodium
