Name,Total_releases,URL
fastlane,533,https://github.com/fastlane/fastlane
first-contributions,0,https://github.com/firstcontributions/first-contributions
hexo,109,https://github.com/hexojs/hexo
impress.js,15,https://github.com/impress/impress.js
uBlock,288,https://github.com/gorhill/uBlock
what-happens-when,0,https://github.com/alex/what-happens-when
privateGPT,0,https://github.com/imartinez/privateGPT
awesome-react-components,0,https://github.com/brillout/awesome-react-components
brew,324,https://github.com/Homebrew/brew
Rocket.Chat,813,https://github.com/RocketChat/Rocket.Chat
quill,82,https://github.com/quilljs/quill
MPAndroidChart,44,https://github.com/PhilJay/MPAndroidChart
hackingtool,0,https://github.com/Z4nzu/hackingtool
awesome-rust,0,https://github.com/rust-unofficial/awesome-rust
open-source-mac-os-apps,0,https://github.com/serhii-londar/open-source-mac-os-apps
spark,0,https://github.com/apache/spark
react-hook-form,531,https://github.com/react-hook-form/react-hook-form
freecodecamp.cn,0,https://github.com/FreeCodeCampChina/freecodecamp.cn
kubernetes-the-hard-way,0,https://github.com/kelseyhightower/kubernetes-the-hard-way
json,43,https://github.com/nlohmann/json
ailearning,2,https://github.com/apachecn/ailearning
swiper,52,https://github.com/nolimits4web/swiper
open-source-ios-apps,37,https://github.com/dkhamsing/open-source-ios-apps
Deep-Learning-Papers-Reading-Roadmap,0,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
starship,122,https://github.com/starship/starship
query,648,https://github.com/TanStack/query
type-challenges,0,https://github.com/type-challenges/type-challenges
video.js,292,https://github.com/videojs/video.js
jadx,28,https://github.com/skylot/jadx
php-src,0,https://github.com/php/php-src
esbuild,266,https://github.com/evanw/esbuild
weekly,0,https://github.com/ruanyf/weekly
cheat.sh,0,https://github.com/chubin/cheat.sh
kong,132,https://github.com/Kong/kong
drawio,761,https://github.com/jgraph/drawio
jeecg-boot,29,https://github.com/jeecgboot/jeecg-boot
monaco-editor,0,https://github.com/microsoft/monaco-editor
slate,28,https://github.com/slatedocs/slate
annotated_deep_learning_paper_implementations,0,https://github.com/labmlai/annotated_deep_learning_paper_implementations
interview_internal_reference,0,https://github.com/0voice/interview_internal_reference
styleguide,0,https://github.com/google/styleguide
Prompt-Engineering-Guide,0,https://github.com/dair-ai/Prompt-Engineering-Guide
tabler,42,https://github.com/tabler/tabler
bert,0,https://github.com/google-research/bert
phaser,140,https://github.com/photonstorm/phaser
wrk,0,https://github.com/wg/wrk
Open-Assistant,124,https://github.com/LAION-AI/Open-Assistant
sentry,112,https://github.com/getsentry/sentry
preact,189,https://github.com/preactjs/preact
lerna,221,https://github.com/lerna/lerna
tutorials,0,https://github.com/eugenp/tutorials
ant-design-pro,26,https://github.com/ant-design/ant-design-pro
tidb,176,https://github.com/pingcap/tidb
fullPage.js,88,https://github.com/alvarotrigo/fullPage.js
pure-bash-bible,0,https://github.com/dylanaraps/pure-bash-bible
zustand,72,https://github.com/pmndrs/zustand
node-v0.x-archive,0,https://github.com/nodejs/node-v0.x-archive
awesome-cheatsheets,0,https://github.com/LeCoupa/awesome-cheatsheets
og-aws,0,https://github.com/open-guides/og-aws
v,166,https://github.com/vlang/v
JavaFamily,0,https://github.com/AobingJava/JavaFamily
iina,42,https://github.com/iina/iina
koa,0,https://github.com/koajs/koa
hackathon-starter,15,https://github.com/sahat/hackathon-starter
chakra-ui,3158,https://github.com/chakra-ui/chakra-ui
lottie-android,46,https://github.com/airbnb/lottie-android
nativefier,99,https://github.com/nativefier/nativefier
deeplearningbook-chinese,7,https://github.com/exacity/deeplearningbook-chinese
wtfpython,2,https://github.com/satwikkansal/wtfpython
Made-With-ML,0,https://github.com/GokuMohandas/Made-With-ML
TaskMatrix,0,https://github.com/microsoft/TaskMatrix
shadowsocks-android,184,https://github.com/shadowsocks/shadowsocks-android
metabase,390,https://github.com/metabase/metabase
glide,46,https://github.com/bumptech/glide
ChatGLM-6B,0,https://github.com/THUDM/ChatGLM-6B
astro,1418,https://github.com/withastro/astro
prisma,164,https://github.com/prisma/prisma
istio,306,https://github.com/istio/istio
dbeaver,183,https://github.com/dbeaver/dbeaver
caffe,14,https://github.com/BVLC/caffe
taro,155,https://github.com/NervJS/taro
sheetjs,0,https://github.com/SheetJS/sheetjs
gorm,2,https://github.com/go-gorm/gorm
leveldb,21,https://github.com/google/leveldb
black,28,https://github.com/psf/black
clipboard.js,42,https://github.com/zenorocha/clipboard.js
shadowsocks,2,https://github.com/shadowsocks/shadowsocks
the-way-to-go_ZH_CN,0,https://github.com/unknwon/the-way-to-go_ZH_CN
brackets,69,https://github.com/adobe/brackets
AFNetworking,40,https://github.com/AFNetworking/AFNetworking
cs-self-learning,3,https://github.com/PKUFlyingPig/cs-self-learning
zju-icicles,0,https://github.com/QSCTech/zju-icicles
python-cheatsheet,0,https://github.com/gto76/python-cheatsheet
n8n,75,https://github.com/n8n-io/n8n
awesome-react-native,0,https://github.com/jondot/awesome-react-native
arthas,51,https://github.com/alibaba/arthas
free,0,https://github.com/freefq/free
cobra,20,https://github.com/spf13/cobra
pyenv,81,https://github.com/pyenv/pyenv
carbon,215,https://github.com/carbon-app/carbon
cli,132,https://github.com/cli/cli
955.WLB,0,https://github.com/formulahendry/955.WLB
acme.sh,40,https://github.com/acmesh-official/acme.sh
appwrite,66,https://github.com/appwrite/appwrite
shellcheck,28,https://github.com/koalaman/shellcheck
PaddleOCR,6,https://github.com/PaddlePaddle/PaddleOCR
gulp,22,https://github.com/gulpjs/gulp
formik,190,https://github.com/jaredpalmer/formik
DragGAN,0,https://github.com/XingangPan/DragGAN
gold-miner,0,https://github.com/xitu/gold-miner
hello-algorithm,0,https://github.com/geekxh/hello-algorithm
immutable-js,75,https://github.com/immutable-js/immutable-js
gym,19,https://github.com/openai/gym
manifesto,0,https://github.com/opentffoundation/manifesto
CPlusPlusThings,0,https://github.com/Light-City/CPlusPlusThings
aspnetcore,192,https://github.com/dotnet/aspnetcore
vim,0,https://github.com/vim/vim
AndroidUtilCode,117,https://github.com/Blankj/AndroidUtilCode
devdocs,0,https://github.com/freeCodeCamp/devdocs
date-fns,106,https://github.com/date-fns/date-fns
material-design-lite,14,https://github.com/google/material-design-lite
mitmproxy,49,https://github.com/mitmproxy/mitmproxy
XX-Net,380,https://github.com/XX-net/XX-Net
awesome-design-patterns,0,https://github.com/DovAmir/awesome-design-patterns
typeorm,29,https://github.com/typeorm/typeorm
GFPGAN,8,https://github.com/TencentARC/GFPGAN
vim-plug,5,https://github.com/junegunn/vim-plug
ColossalAI,31,https://github.com/hpcaitech/ColossalAI
netty,0,https://github.com/netty/netty
ShadowsocksX-NG,29,https://github.com/shadowsocks/ShadowsocksX-NG
wtfjs,25,https://github.com/denysdovhan/wtfjs
ijkplayer,0,https://github.com/bilibili/ijkplayer
fanqiang,2,https://github.com/bannedbook/fanqiang
reactjs-interview-questions,0,https://github.com/sudheerj/reactjs-interview-questions
airflow,69,https://github.com/apache/airflow
zxing,30,https://github.com/zxing/zxing
Docker-OSX,0,https://github.com/sickcodes/Docker-OSX
tesseract.js,45,https://github.com/naptha/tesseract.js
android-open-project,0,https://github.com/Trinea/android-open-project
awesome-javascript,0,https://github.com/sorrycc/awesome-javascript
aria2,23,https://github.com/aria2/aria2
12306,1,https://github.com/testerSunshine/12306
jieba,9,https://github.com/fxsjy/jieba
curl,72,https://github.com/curl/curl
metasploit-framework,0,https://github.com/rapid7/metasploit-framework
diagrams,39,https://github.com/mingrammer/diagrams
carbon-lang,0,https://github.com/carbon-language/carbon-lang
jQuery-File-Upload,0,https://github.com/blueimp/jQuery-File-Upload
react-beautiful-dnd,68,https://github.com/atlassian/react-beautiful-dnd
MockingBird,1,https://github.com/babysor/MockingBird
googletest,7,https://github.com/google/googletest
google-research,0,https://github.com/google-research/google-research
yuzu,0,https://github.com/yuzu-emu/yuzu
awesome-awesomeness,0,https://github.com/bayandin/awesome-awesomeness
ClickHouse,487,https://github.com/ClickHouse/ClickHouse
odoo,0,https://github.com/odoo/odoo
LeetCode-Go,4,https://github.com/halfrost/LeetCode-Go
insomnia,372,https://github.com/Kong/insomnia
50projects50days,0,https://github.com/bradtraversy/50projects50days
marked,107,https://github.com/markedjs/marked
compose,204,https://github.com/docker/compose
lx-music-desktop,101,https://github.com/lyswhut/lx-music-desktop
spring-boot-demo,0,https://github.com/xkcoding/spring-boot-demo
lazydocker,37,https://github.com/jesseduffield/lazydocker
tmux,34,https://github.com/tmux/tmux
certbot,43,https://github.com/certbot/certbot
interview,0,https://github.com/huihut/interview
nvm-windows,19,https://github.com/coreybutler/nvm-windows
beego,23,https://github.com/beego/beego
HanLP,57,https://github.com/hankcs/HanLP
husky,60,https://github.com/typicode/husky
framework,649,https://github.com/laravel/framework
graphql-engine,227,https://github.com/hasura/graphql-engine
Blog,0,https://github.com/mqyqingfeng/Blog
pandoc,124,https://github.com/jgm/pandoc
ImHex,58,https://github.com/WerWolv/ImHex
alist,102,https://github.com/alist-org/alist
HEAD,0,https://github.com/joshbuchea/HEAD
vue-cli,177,https://github.com/vuejs/vue-cli
ui,10,https://github.com/shadcn-ui/ui
p3c,0,https://github.com/alibaba/p3c
foundation-sites,78,https://github.com/foundation/foundation-sites
libpku,0,https://github.com/lib-pku/libpku
stablediffusion,0,https://github.com/Stability-AI/stablediffusion
rxjs,0,https://github.com/ReactiveX/rxjs
REKCARC-TSC-UHT,0,https://github.com/PKUanonym/REKCARC-TSC-UHT
spring-boot-examples,0,https://github.com/ityouknow/spring-boot-examples
phantomjs,0,https://github.com/ariya/phantomjs
vimrc,0,https://github.com/amix/vimrc
dotfiles,0,https://github.com/mathiasbynens/dotfiles
Awesome-Design-Tools,0,https://github.com/goabstract/Awesome-Design-Tools
react-boilerplate,16,https://github.com/react-boilerplate/react-boilerplate
COVID-19,0,https://github.com/CSSEGISandData/COVID-19
es6features,0,https://github.com/lukehoban/es6features
awesome-php,0,https://github.com/ziadoz/awesome-php
cli,45,https://github.com/httpie/cli
ccxt,1,https://github.com/ccxt/ccxt
English-level-up-tips,0,https://github.com/byoungd/English-level-up-tips
NeteaseCloudMusicApi,177,https://github.com/Binaryify/NeteaseCloudMusicApi
appsmith,181,https://github.com/appsmithorg/appsmith
project-guidelines,0,https://github.com/elsewhencode/project-guidelines
easyexcel,8,https://github.com/alibaba/easyexcel
lottie-web,0,https://github.com/airbnb/lottie-web
