Name,Owner_login,Age,URL
ItChat,littlecodersh,2780,https://github.com/littlecodersh/ItChat
termux-app,termux,2868,https://github.com/termux/termux-app
iview,iview,2589,https://github.com/iview/iview
devtools,vuejs,3257,https://github.com/vuejs/devtools
Web,qianguyihao,2430,https://github.com/qianguyihao/Web
hosts,StevenBlack,4156,https://github.com/StevenBlack/hosts
v2ray-core,v2fly,1598,https://github.com/v2fly/v2ray-core
components,angular,2794,https://github.com/angular/components
Hystrix,Netflix,3935,https://github.com/Netflix/Hystrix
croc,schollz,2143,https://github.com/schollz/croc
gitlabhq,gitlabhq,4349,https://github.com/gitlabhq/gitlabhq
eslint,eslint,3713,https://github.com/eslint/eslint
logrus,sirupsen,3604,https://github.com/sirupsen/logrus
awesome-sysadmin,kahun,3488,https://github.com/kahun/awesome-sysadmin
idiomatic.js,rwaldron,4479,https://github.com/rwaldron/idiomatic.js
aseprite,aseprite,3297,https://github.com/aseprite/aseprite
react-redux,reduxjs,2971,https://github.com/reduxjs/react-redux
NativeScript,NativeScript,3104,https://github.com/NativeScript/NativeScript
core-js,zloirock,3695,https://github.com/zloirock/core-js
cal.com,calcom,891,https://github.com/calcom/cal.com
localForage,localForage,3590,https://github.com/localForage/localForage
copilot-docs,github,675,https://github.com/github/copilot-docs
envoy,envoyproxy,2578,https://github.com/envoyproxy/envoy
exa,ogham,3387,https://github.com/ogham/exa
srs,ossrs,3045,https://github.com/ossrs/srs
RevokeMsgPatcher,huiyadanli,1501,https://github.com/huiyadanli/RevokeMsgPatcher
sweetalert,t4t5,3256,https://github.com/t4t5/sweetalert
MiniGPT-4,Vision-CAIR,136,https://github.com/Vision-CAIR/MiniGPT-4
ipfs,ipfs,3487,https://github.com/ipfs/ipfs
wepy,Tencent,2480,https://github.com/Tencent/wepy
flow,facebook,3227,https://github.com/facebook/flow
chosen,harvesthq,4517,https://github.com/harvesthq/chosen
pytudes,norvig,2373,https://github.com/norvig/pytudes
homemade-machine-learning,trekhleb,1763,https://github.com/trekhleb/homemade-machine-learning
dracula-theme,dracula,3594,https://github.com/dracula/dracula-theme
spacedrive,spacedriveapp,702,https://github.com/spacedriveapp/spacedrive
games,leereilly,4254,https://github.com/leereilly/games
PicGo,Molunerfinn,2087,https://github.com/Molunerfinn/PicGo
Rocket,SergioBenitez,2721,https://github.com/SergioBenitez/Rocket
Babylon.js,BabylonJS,3715,https://github.com/BabylonJS/Babylon.js
textual,Textualize,874,https://github.com/Textualize/textual
lenster,lensterxyz,529,https://github.com/lensterxyz/lenster
postgrest,PostgREST,3365,https://github.com/PostgREST/postgrest
flatbuffers,google,3389,https://github.com/google/flatbuffers
Proton,ValveSoftware,1995,https://github.com/ValveSoftware/Proton
tiptap,ueberdosis,1835,https://github.com/ueberdosis/tiptap
the-swift-programming-language-in-chinese,SwiftGGTeam,3375,https://github.com/SwiftGGTeam/the-swift-programming-language-in-chinese
forem,forem,2480,https://github.com/forem/forem
es6tutorial,ruanyf,3419,https://github.com/ruanyf/es6tutorial
osquery,osquery,3318,https://github.com/osquery/osquery
SummaryOfLoanSuspension,WeNeedHome,413,https://github.com/WeNeedHome/SummaryOfLoanSuspension
mpvue,Meituan-Dianping,2002,https://github.com/Meituan-Dianping/mpvue
iced,iced-rs,1506,https://github.com/iced-rs/iced
roop,s0md3v,94,https://github.com/s0md3v/roop
GPUImage,BradLarson,4216,https://github.com/BradLarson/GPUImage
